indicator,ROC-AUC,AP,NDCG10,Precision10,Recall10,NDCG20,Precision20,Recall20,NDCG30,Precision30,Recall30,NDCG40,Precision40,Recall40,NDCG50,Precision50,Recall50,tie_count,rank_biserial,ci_low,ci_high
cites/author,0.6354665524380667,0.5928654181994567,0.5613455609143183,0.5798319327731093,0.1133004926108374,0.5853384444570321,0.5991561181434599,0.2331691297208538,0.6107527134701629,0.6264044943820225,0.3661740558292282,0.605419388874481,0.6160337552742616,0.4794745484400657,0.604988534971303,0.6131756756756757,0.5960591133004927,119,0.2709331048761334,0.2068030270578997,0.3336241879060468
e index,0.6489812236738774,0.601763812012129,0.5548905976440441,0.6050420168067226,0.1182266009852216,0.5967239719432758,0.6329113924050633,0.2463054187192118,0.5990286764591544,0.6235955056179775,0.3645320197044335,0.6114470437167684,0.6329113924050633,0.4926108374384236,0.6070624518017479,0.6233108108108109,0.6059113300492611,270,0.2979624473477549,0.2359405297351323,0.3616325408724209
hi index,0.6146126936531734,0.5800104554389889,0.5469782955620874,0.5546218487394958,0.1083743842364532,0.5930861739399266,0.6075949367088608,0.2364532019704433,0.5962199262584383,0.6067415730337079,0.354679802955665,0.6005965792538309,0.609704641350211,0.4745484400656814,0.5973398160722886,0.6038851351351351,0.5870279146141215,365,0.2292253873063467,0.1652334547012207,0.2934128649960733
hi index s,0.6146041265081744,0.5800104554389889,0.5469782955620874,0.5546218487394958,0.1083743842364532,0.5930861739399266,0.6075949367088608,0.2364532019704433,0.5962199262584383,0.6067415730337079,0.354679802955665,0.6005965792538309,0.609704641350211,0.4745484400656814,0.5973398160722886,0.6038851351351351,0.5870279146141215,364,0.2292082530163488,0.1652333833083457,0.2933790247733275
weighted h index,0.6386977939601628,0.5907614225743417,0.5400930286230591,0.5798319327731093,0.1133004926108374,0.5679163219961965,0.5949367088607594,0.2315270935960591,0.5937083177961635,0.6179775280898876,0.361247947454844,0.598587781117937,0.6181434599156118,0.4811165845648604,0.6032305712947268,0.6199324324324325,0.6026272577996716,257,0.2773955879203256,0.2160136360391232,0.3407535517955307
h dash index,0.6462854287142143,0.5961201592114724,0.5394359389683693,0.5966386554621849,0.1165845648604269,0.5843312778109258,0.6244725738396625,0.2430213464696223,0.5900086209502318,0.6179775280898876,0.361247947454844,0.6058546629188979,0.630801687763713,0.4909688013136289,0.603760864937902,0.6233108108108109,0.6059113300492611,169,0.2925708574284287,0.2309016206182622,0.3562363104162203
P index,0.6838937674020132,0.6264630240599753,0.5356609042992527,0.5966386554621849,0.1165845648604269,0.6201535098862112,0.6708860759493671,0.2610837438423645,0.6386954227985833,0.6769662921348315,0.3957307060755337,0.6365156544000717,0.6645569620253164,0.5172413793103449,0.6350876341113767,0.6570945945945946,0.638752052545156,151,0.3677875348040265,0.3053268365817091,0.4263561076604554
R index,0.6369872206753766,0.5884783961038771,0.5310875048441288,0.5714285714285714,0.1116584564860427,0.5658937331139152,0.5949367088607594,0.2315270935960591,0.5942818778538002,0.6207865168539326,0.3628899835796387,0.5939105948894966,0.6139240506329114,0.4778325123152709,0.6007152931932428,0.6182432432432432,0.6009852216748769,229,0.2739744413507532,0.2119265367316342,0.3371559220389805
h core citation,0.6369872206753766,0.5884783961038771,0.5310875048441288,0.5714285714285714,0.1116584564860427,0.5658937331139152,0.5949367088607594,0.2315270935960591,0.5942818778538002,0.6207865168539326,0.3628899835796387,0.5939105948894966,0.6139240506329114,0.4778325123152709,0.6007152931932428,0.6182432432432432,0.6009852216748769,229,0.2739744413507532,0.2119265367316342,0.3371559220389805
hg_index,0.6038637823945171,0.5650487185069946,0.5081020296992284,0.5042016806722689,0.0985221674876847,0.5382986377065092,0.5443037974683544,0.2118226600985221,0.5721031385994805,0.5842696629213483,0.3415435139573071,0.5863465497255451,0.5991561181434599,0.4663382594417077,0.5915348594743838,0.6030405405405406,0.5862068965517241,511,0.2077275647890342,0.1435770686085529,0.2707359177554079
m index,0.6422217462697223,0.589756357567585,0.5077679021619604,0.5735294117647058,0.1120689655172413,0.5740209332766326,0.6236286919831224,0.2426929392446634,0.5849642737175608,0.6202247191011236,0.3625615763546798,0.5898366831961347,0.6174402250351617,0.4805692391899288,0.5970376771614299,0.620945945945946,0.6036124794745484,767,0.2844434925394445,0.2194098664953238,0.3463002070393373
k norm index,0.6217377025772828,0.5754102407553331,0.506006900411617,0.5294117647058824,0.1034482758620689,0.5551847590814111,0.5780590717299579,0.2249589490968801,0.5936422276676607,0.6179775280898876,0.361247947454844,0.5899854258898773,0.6075949367088608,0.4729064039408867,0.5823320217428757,0.5945945945945946,0.5779967159277504,169,0.2434754051545655,0.1795128150210609,0.3052732919254659
w norm index,0.6200285571499964,0.5742413773815822,0.5058294997876825,0.5294117647058824,0.1034482758620689,0.5549545956883786,0.5780590717299579,0.2249589490968801,0.5933762578414481,0.6179775280898876,0.361247947454844,0.588070530828881,0.6054852320675106,0.4712643678160919,0.5834423978798117,0.5962837837837838,0.5796387520525451,148,0.2400571142999927,0.1760366959377454,0.3017351324337832
hf index,0.6183979438852003,0.5729263424167876,0.5055245440022565,0.5294117647058824,0.1034482758620689,0.5547892658196069,0.5780590717299579,0.2249589490968801,0.5933369225299963,0.6179775280898876,0.361247947454844,0.5894792114327003,0.6072703667640376,0.4726537829986105,0.5832491125749981,0.5960507921714818,0.5794122643111942,1060,0.2367958877704006,0.1720037124294996,0.2990195616477474
hl norm,0.6185564360676804,0.5729400908607306,0.5055245440022565,0.5294117647058824,0.1034482758620689,0.5548011305244634,0.5780590717299579,0.2249589490968801,0.5933257464964511,0.6179775280898876,0.361247947454844,0.5888480271275666,0.6064942212438086,0.4720496894409938,0.5832317642988883,0.5960507921714818,0.5794122643111941,1060,0.2371128721353608,0.1718537159991433,0.2993993717427001
ha index,0.6314100092810737,0.5817547553957374,0.5009858398178156,0.5319327731092437,0.1039408866995073,0.5505327872604471,0.5775527426160335,0.2247619047619046,0.5750790145882055,0.5996110630942091,0.3505115574081091,0.5921994409378831,0.6146543330087633,0.4784009094353921,0.6039398278746108,0.6246380308880308,0.6072015012901713,1117,0.2628200185621474,0.2002105375883486,0.3242977082887128
Maxprod,0.6343928035982009,0.5820290709198501,0.5001957037544226,0.5378151260504201,0.1050903119868637,0.553578069639131,0.5864978902953587,0.2282430213464696,0.5874325040867326,0.6179775280898876,0.361247947454844,0.5951425218448568,0.620253164556962,0.4827586206896552,0.5962654487944234,0.6165540540540541,0.5993431855500821,368,0.2687856071964019,0.2060919540229885,0.3323995145284499
pure h index,0.6042664382094667,0.5644380078939604,0.4994356315820837,0.5042016806722689,0.0985221674876847,0.5444491804895112,0.5569620253164557,0.2167487684729064,0.5739456492240198,0.5898876404494382,0.3448275862068966,0.5851929760957104,0.5998593530239099,0.4668856048166392,0.5833617895370492,0.5945945945945946,0.5779967159277504,325,0.2085328764189333,0.1440942385949882,0.2714545584350682
