model,cut_distance,family,count,members,mean_summed_abs_SHAP,SD,mean_per_indicator
XGB,0.1,F12,1,k dash index,0.0941916691339724,0.0994050091160255,0.0941916691339724
XGB,0.1,F13,1,m_qoutient_index,0.0717203205910688,0.0951283111593549,0.0717203205910688
XGB,0.1,F14,1,V index,0.331886986234757,0.2223388622704378,0.331886986234757
XGB,0.1,F15,1,Author/paper,0.2170208457592781,0.1561212707492172,0.2170208457592781
XGB,0.1,F16,1,k index,0.3215776969262987,0.1554703046879527,0.3215776969262987
XGB,0.1,F17,1,Real h index,0.092335852789605,0.0855127985620008,0.092335852789605
XGB,0.15,F01,45,Total Publication | Total Citation | h index | g index | h(2) index | w index | h core citation | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | gF index | hi index | h_m_index | k norm index | w norm index | gm index | R index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | paper/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,2.520580348186077,1.203380007832708,0.0560128966263572
XGB,0.15,F02,1,Total Years,0.0998898931743435,0.1075577955208728,0.0998898931743435
XGB,0.15,F03,5,Cite/Year | m index | platinium_h_index | A index | P index,0.6483594109609545,0.304674502494381,0.1296718821921909
XGB,0.15,F04,2,Cite/Paper | normalized_h_index,0.1185017875285346,0.0923792058136682,0.0592508937642673
XGB,0.15,F05,1,woginger_index,0.0698930101358151,0.0909418605383649,0.0698930101358151
XGB,0.15,F06,1,X index,0.3341987186028524,0.293172696331745,0.3341987186028524
XGB,0.15,F07,1,h2upper_index,0.2353876792604333,0.1506762537251839,0.2353876792604333
XGB,0.15,F08,1,h2 center_index,0.1681756214878791,0.1685988047506778,0.1681756214878791
XGB,0.15,F09,1,h2 lower_index,0.0818377479071067,0.0689296671908966,0.0818377479071067
XGB,0.15,F10,1,k dash index,0.0941916691339724,0.0994050091160255,0.0941916691339724
XGB,0.15,F11,1,m_qoutient_index,0.0717203205910688,0.0951283111593549,0.0717203205910688
XGB,0.15,F12,1,V index,0.331886986234757,0.2223388622704378,0.331886986234757
XGB,0.15,F13,1,Author/paper,0.2170208457592781,0.1561212707492172,0.2170208457592781
XGB,0.15,F14,1,k index,0.3215776969262987,0.1554703046879527,0.3215776969262987
XGB,0.15,F15,1,Real h index,0.092335852789605,0.0855127985620008,0.092335852789605
XGB,0.2,F01,50,Total Publication | Total Citation | Cite/Year | h index | g index | h(2) index | w index | h core citation | m index | f index | t index | tappered_h_index | Maxprod | wu index | pi index | weighted h index | Gh_index | Rm index | i10 index | platinium_h_index | HI_index | AW_index | Ar index | hm_index | hf index | gf index | gF index | hi index | h_m_index | k norm index | w norm index | gm index | A index | R index | P index | q2 index | e index | hg_index | pure h index | fractional g index | fractional h index | AWCR | cites/author | paper/author | h dash index | hl norm | hc index | ha index | hi index s | Rational h index,3.168939759147031,1.357254671111433,0.0633787951829406
XGB,0.2,F02,1,Total Years,0.0998898931743435,0.1075577955208728,0.0998898931743435
XGB,0.2,F03,2,Cite/Paper | normalized_h_index,0.1185017875285346,0.0923792058136682,0.0592508937642673
XGB,0.2,F04,1,woginger_index,0.0698930101358151,0.0909418605383649,0.0698930101358151
XGB,0.2,F05,1,X index,0.3341987186028524,0.293172696331745,0.3341987186028524
XGB,0.2,F06,1,h2upper_index,0.2353876792604333,0.1506762537251839,0.2353876792604333
XGB,0.2,F07,1,h2 center_index,0.1681756214878791,0.1685988047506778,0.1681756214878791
XGB,0.2,F08,1,h2 lower_index,0.0818377479071067,0.0689296671908966,0.0818377479071067
XGB,0.2,F09,1,k dash index,0.0941916691339724,0.0994050091160255,0.0941916691339724
XGB,0.2,F10,2,m_qoutient_index | V index,0.4036073068258259,0.2571371855091366,0.2018036534129129
XGB,0.2,F11,1,Author/paper,0.2170208457592781,0.1561212707492172,0.2170208457592781
XGB,0.2,F12,1,k index,0.3215776969262987,0.1554703046879527,0.3215776969262987
XGB,0.2,F13,1,Real h index,0.092335852789605,0.0855127985620008,0.092335852789605
